1,2
288.00,"10229GNS"
92.16,"10613VEN"
3919.20,"11888SLS"
375.00,"11921CGS"
1500.00,"11922CGS"
1825.00,"11933CLG"
438.00,"12211CLG"
1284.00,"12212CLG"
97350.00,"12237TRI"
21.00,"12335GNS"
18836.48,"12463DEN"
25.48,"13029BKE"
4224.00,"13083CLG"
15765.60,"13118VEN"
2433.75,"13201TRI"
1788.80,"13314TRH"
16665.60,"13323GDH"
7200.00,"13368CLG"
7200.00,"13369CLG"
11892.00,"13381BAK"
7280.64,"13420HVR"
5068.80,"13440HVR"
1260000.00,"13506DEN"
33528.00,"13512DEN"
3416.66,"13661DNS"
10612.80,"13687PRI"
13005.30,"13688PHA"
2373.60,"13791VEN"
28700.00,"13832CRH"
3072.00,"13880IGR"
18694.80,"13958RRB"
21352.00,"14114A&W"
2297.75,"14121HVR"
9132.00,"14193OPR"
9440.00,"14277SLK"
29832.00,"14305DEN"
295171.20,"14318CHP"
1019.20,"14321VEN"
135997.20,"14330BRK"
41810.88,"14533GUY"
315031.25,"14774BRK"
288862.50,"14779BRK"
513968.55,"14781BRK"
177700.00,"14784PJN"
23400.00,"14803VEN"
45540.00,"15050VEN"
148.80,"15261VEN"
476.40,"15262VEN"
96.36,"15269VEN"
21.90,"15270VEN"
16747.50,"15391PHA"
9000.00,"15421VEN"
5400.00,"15430WCP"
128100.00,"15487VEN"
24255.00,"15507DOM"
785156.25,"15543BRK"
213656.25,"15802BRK"
14208.00,"15824GUY"
9376.00,"15825GUY"
15712.00,"15827GUY"
1986.60,"15840COM"
36911.20,"15885DEN"
10370.44,"15894DEN"
1576.00,"15899EPL"
21632.00,"15964TGI"
31616.00,"15966TGI"
207115.60,"16068KFC"
0.00,"16097VEN"
57312.00,"16451CVR"
15504.48,"16454CVR"
78044.40,"16469CVR"
12526.02,"16471CVR"
236151.30,"16588VEN"
0.00,"16685CHP"
2800.00,"16763MFY"
16317.36,"16771VEN"
193158.00,"16784CVR"
4600.00,"16811VEN"
50672.70,"16836SNG"
34740.00,"16837SNG"
167280.00,"16839SNG"
47952.00,"16842SNG"
636580.00,"16951YUM"
3708.00,"16953SNG"
268462.50,"16963BRK"
90630.00,"16987CLG"
49833.00,"17078ABR"
9555.00,"17078SNG"
124215.00,"17094WHA"
322.20,"17095VEN"
49734.00,"17175JIB"
41811.00,"17190BRK"
154230.00,"17293CIN"
3744.00,"17308VEN"
12352.00,"17313DEN"
2508.00,"17339SBN"
9060.00,"17343VEN"
6090.00,"17345OTB"
143640.00,"17350PHA"
5608.80,"17361VEN"
54600.00,"17388MFY"
21169.91,"17578SBY"
12032.00,"17634TGI"
362.12,"17680CGB"
1481.20,"17687CGB"
2662.80,"17690CGR"
1992.00,"17697CGR"
1915.16,"17698CGR"
864.00,"17699CGR"
3151.85,"17700CGR"
2053.20,"17710CGS"
2456.80,"17711CGS"
1555.20,"17718CGS"
1332.00,"17722CGS"
254.80,"17730CGS"
15122.46,"17732CGS"
3115.20,"17734CGS"
1678.24,"17737CGS"
842.16,"17738CGS"
57489.24,"17739CGS"
111.60,"17768CGS"
735000.00,"17847WAF"
112320.00,"17850WHA"
348639.00,"17870JIB"
140595.00,"17878OPR"
2862.00,"17905TGI"
5392.00,"17915CLG"
18304.00,"17930BAK"
8283.24,"17950BAK"
258325.20,"18011JIB"
49020.00,"18013UBA"
6276.00,"18038LJS"
6648.00,"18040CLG"
478432.00,"18046PAD"
3840.00,"18046PAX"
7232.00,"18054VEN"
221182.50,"18189BNK"
14663.25,"18190CVR"
11995.65,"18191CVR"
5027.40,"18193CVR"
10188.84,"18197CVR"
2656.00,"18201BNK"
58299.04,"18305VEN"
22680.00,"18331VEN"
4660.00,"18500GNS"
576.00,"18501GNS"
39936.00,"18516TGI"
60207.00,"18517BNK"
1664.00,"18527VEN"
36592.80,"18550PAD"
30910.88,"18551PAD"
25305.00,"18648BFT"
727300.00,"18648GFG"
38700.00,"18673CVR"
403.20,"18716CGB"
17530.60,"18889VEN"
56621.76,"19083DEN"
714.00,"19123UBA"
66325.00,"19143SON"
114552.00,"19291CCD"
425520.00,"19292CCD"
7632.00,"19298A&W"
98017.92,"19299CVR"
9920.00,"19307CPK"
36648.00,"19346SON"
15000.00,"19357VEN"
60987.50,"19501JIB"
335230.00,"19510DAR"
473060.00,"19510GNS"
22400.00,"19512GNS"
41886.72,"19636LIT"
21632.00,"19717TGI"
33575.36,"19719UBA"
58264.80,"19720UBA"
73007.06,"19742DEN"
65592.00,"19752WHA"
10692.00,"19756WHA"
165250.00,"19796POP"
18252.00,"19798BNK"
432.00,"19823VEN"
14875.00,"19846LIT"
75000.00,"19879CCD"
53874.00,"19883KFC"
79793.75,"19915JIB"
